"LBXD07.Code.or.Value","LBXD07.Value.Description","LBXD07.Count","LBXD07.Cumulative","LBXD07.Skip.to.Item"
"162.35 to 21125.4","Range of Values",1851,1851,NA
".","Missing",434,2285,NA
