"OSQ040bf.Code.or.Value","OSQ040bf.Value.Description","OSQ040bf.Count","OSQ040bf.Cumulative","OSQ040bf.Skip.to.Item"
"1","Under 50 years old, or",1,1,"OSQ025"
"2","50 years old or older?",0,1,""
"7","Refused",0,1,"OSQ025"
"9","Don't know",0,1,"OSQ025"
".","Missing",5040,5041,""
