"DR1TBCAR.Code.or.Value","DR1TBCAR.Value.Description","DR1TBCAR.Count","DR1TBCAR.Cumulative","DR1TBCAR.Skip.to.Item"
"0 to 52701","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
