"DR1TVC.Code.or.Value","DR1TVC.Value.Description","DR1TVC.Count","DR1TVC.Cumulative","DR1TVC.Skip.to.Item"
"0 to 2261","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
