"DSXBG1.Code.or.Value","DSXBG1.Value.Description","DSXBG1.Count","DSXBG1.Cumulative","DSXBG1.Skip.to.Item"
"0.01 to 12.26","Range of Values",6837,6837,NA
".","Missing",2603,9440,NA
