"DS1IIRON.Code.or.Value","DS1IIRON.Value.Description","DS1IIRON.Count","DS1IIRON.Cumulative","DS1IIRON.Skip.to.Item"
"0.08 to 195","Range of Values",705,705,NA
".","Missing",5363,6068,NA
