"FSQ865.Code.or.Value","FSQ865.Value.Description","FSQ865.Count","FSQ865.Cumulative","FSQ865.Skip.to.Item"
"32 to 900","Range of Values",37,37,NA
"77777","Refused",5,42,NA
"99999","Don't know",20,62,NA
".","Missing",9909,9971,NA
