"LBDTCSI.Code.or.Value","LBDTCSI.Value.Description","LBDTCSI.Count","LBDTCSI.Cumulative","LBDTCSI.Skip.to.Item"
"1.99 to 14.09","Range of Values",7256,7256,NA
".","Missing",765,8021,NA
