"MIALANG.Code.or.Value","MIALANG.Value.Description","MIALANG.Count","MIALANG.Cumulative","MIALANG.Skip.to.Item"
"1","English",6904,6904,NA
"2","Spanish",407,7311,NA
".","Missing",2864,10175,NA
