"LBXTO3.Code.or.Value","LBXTO3.Value.Description","LBXTO3.Count","LBXTO3.Cumulative","LBXTO3.Skip.to.Item"
"8 to 16000","Range of Values",106,106,NA
".","Missing",5557,5663,NA
