"URXMNM.Code.or.Value","URXMNM.Value.Description","URXMNM.Count","URXMNM.Cumulative","URXMNM.Skip.to.Item"
"0.7 to 1170.3","Range of Values",2605,2605,NA
".","Missing",92,2697,NA
