"DR2TP205.Code.or.Value","DR2TP205.Value.Description","DR2TP205.Count","DR2TP205.Cumulative","DR2TP205.Skip.to.Item"
"0 to 2.555","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
