"LBXBPB.Code.or.Value","LBXBPB.Value.Description","LBXBPB.Count","LBXBPB.Cumulative","LBXBPB.Skip.to.Item"
"0.25 to 55.2","Range of Values",8373,8373,NA
"0.18","First Below Detection Limit Fill Value",32,8405,NA
"0.21","Second Below Detection Limit Fill Value",2,8407,NA
".","Missing",1033,9440,NA
