"LBCBR66.Code.or.Value","LBCBR66.Value.Description","LBCBR66.Count","LBCBR66.Cumulative","LBCBR66.Skip.to.Item"
"1.8 to 5.2","Range of Values",264,264,NA
".","Missing",0,264,NA
