"PFQ049.Code.or.Value","PFQ049.Value.Description","PFQ049.Count","PFQ049.Cumulative","PFQ049.Skip.to.Item"
"1","Yes",868,868,NA
"2","No",4898,5766,NA
"7","Refused",1,5767,NA
"9","Don't know",2,5769,NA
".","Missing",3461,9230,NA
