"LBXPFNA.Code.or.Value","LBXPFNA.Value.Description","LBXPFNA.Count","LBXPFNA.Cumulative","LBXPFNA.Skip.to.Item"
"0.07 to 15.4","Range of Values",2120,2120,NA
".","Missing",203,2323,NA
