"DRD370CQ.Code.or.Value","DRD370CQ.Value.Description","DRD370CQ.Count","DRD370CQ.Cumulative","DRD370CQ.Skip.to.Item"
"1 to 16","Range of Values",127,127,NA
".","Missing",9417,9544,NA
