"DSQITFAT.Code.or.Value","DSQITFAT.Value.Description","DSQITFAT.Count","DSQITFAT.Cumulative","DSQITFAT.Skip.to.Item"
"0.01836 to 54","Range of Values",630,630,NA
".","Missing",7655,8285,NA
