"MCQ160L.Code.or.Value","MCQ160L.Value.Description","MCQ160L.Count","MCQ160L.Cumulative","MCQ160L.Skip.to.Item"
"1","Yes",153,153,"MCQ170L"
"2","No",4715,4868,""
"7","Refused",0,4868,""
"9","Don't know",12,4880,""
".","Missing",4613,9493,""
