"OHD03LAM.Code.or.Value","OHD03LAM.Value.Description","OHD03LAM.Count","OHD03LAM.Cumulative","OHD03LAM.Skip.to.Item"
"0 to 13","Range of Values",1360,1360,NA
"99","Calculation cannot be determined",434,1794,NA
".","Missing",4964,6758,NA
