"DSQTMAGN.Code.or.Value","DSQTMAGN.Value.Description","DSQTMAGN.Count","DSQTMAGN.Cumulative","DSQTMAGN.Skip.to.Item"
"0.02 to 3600","Range of Values",1926,1926,NA
".","Missing",7830,9756,NA
