"DSQIPFAT.Code.or.Value","DSQIPFAT.Value.Description","DSQIPFAT.Count","DSQIPFAT.Cumulative","DSQIPFAT.Skip.to.Item"
"0.075 to 11","Range of Values",330,330,NA
".","Missing",7939,8269,NA
