"LBXVHE.Code.or.Value","LBXVHE.Value.Description","LBXVHE.Count","LBXVHE.Cumulative","LBXVHE.Skip.to.Item"
"0.0078 to 0.0078","Range of Values",2627,2627,NA
".","Missing",788,3415,NA
