"LBDBR8LC.Code.or.Value","LBDBR8LC.Value.Description","LBDBR8LC.Count","LBDBR8LC.Cumulative","LBDBR8LC.Skip.to.Item"
"0","At or above the detection limit",1110,1110,NA
"1","Below lower detection limit",904,2014,NA
".","Missing",323,2337,NA
