"CDQ002.Code.or.Value","CDQ002.Value.Description","CDQ002.Count","CDQ002.Cumulative","CDQ002.Skip.to.Item"
"1","Yes",304,304,""
"2","No",695,999,"CDQ008"
"3","Never walks uphill or hurries",33,1032,""
"7","Refused",0,1032,"CDQ008"
"9","Don't know",10,1042,"CDQ008"
".","Missing",2724,3766,""
