"LBXSCK.Code.or.Value","LBXSCK.Value.Description","LBXSCK.Count","LBXSCK.Cumulative","LBXSCK.Skip.to.Item"
"6 to 3966","Range of Values",6542,6542,NA
".","Missing",437,6979,NA
