"MSXWTIME.Code.or.Value","MSXWTIME.Value.Description","MSXWTIME.Count","MSXWTIME.Cumulative","MSXWTIME.Skip.to.Item"
"1 to 61.2","Range of Values",1933,1933,NA
".","Missing",223,2156,NA
