"PAD320.Code.or.Value","PAD320.Value.Description","PAD320.Count","PAD320.Cumulative","PAD320.Skip.to.Item"
"1","Yes",4035,4035,NA
"2","No",2967,7002,NA
"3","Unable to do activity",236,7238,NA
"7","Refused",1,7239,NA
"9","Don't know",1,7240,NA
".","Missing",2038,9278,NA
