"DSQTTFAT.Code.or.Value","DSQTTFAT.Value.Description","DSQTTFAT.Count","DSQTTFAT.Cumulative","DSQTTFAT.Skip.to.Item"
"0.01 to 28","Range of Values",686,686,NA
".","Missing",9070,9756,NA
