"DR2TZINC.Code.or.Value","DR2TZINC.Value.Description","DR2TZINC.Count","DR2TZINC.Cumulative","DR2TZINC.Skip.to.Item"
"0 to 90.76","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
