"DXXL2BMD.Code.or.Value","DXXL2BMD.Value.Description","DXXL2BMD.Count","DXXL2BMD.Cumulative","DXXL2BMD.Skip.to.Item"
"0.362 to 1.825","Range of Values",6216,6216,NA
".","Missing",1504,7720,NA
