"DSQTKCAL.Code.or.Value","DSQTKCAL.Value.Description","DSQTKCAL.Count","DSQTKCAL.Cumulative","DSQTKCAL.Skip.to.Item"
"0.1 to 510","Range of Values",1803,1803,NA
".","Missing",8734,10537,NA
