"LBXVD2MS.Code.or.Value","LBXVD2MS.Value.Description","LBXVD2MS.Count","LBXVD2MS.Cumulative","LBXVD2MS.Skip.to.Item"
"1.45 to 163","Range of Values",8039,8039,NA
".","Missing",1126,9165,NA
