"OCQ290G.Code.or.Value","OCQ290G.Value.Description","OCQ290G.Count","OCQ290G.Cumulative","OCQ290G.Skip.to.Item"
"1","Enter number",676,676,NA
"2","Never",2836,3512,NA
"7","Refused",0,3512,NA
"9","Don't know",4,3516,NA
".","Missing",3118,6634,NA
