"LBXS11MK.Code.or.Value","LBXS11MK.Value.Description","LBXS11MK.Count","LBXS11MK.Cumulative","LBXS11MK.Skip.to.Item"
"1 to 2","Range of Values",3523,3523,NA
".","Missing",323,3846,NA
