"LBXT4.Code.or.Value","LBXT4.Value.Description","LBXT4.Count","LBXT4.Cumulative","LBXT4.Skip.to.Item"
"0.4 to 18.5","Range of Values",2051,2051,NA
".","Missing",225,2276,NA
