"CVDR1SY.Code.or.Value","CVDR1SY.Value.Description","CVDR1SY.Count","CVDR1SY.Cumulative","CVDR1SY.Skip.to.Item"
"75 to 254","Range of Values",3048,3048,NA
".","Missing",2104,5152,NA
