"DR1TFF.Code.or.Value","DR1TFF.Value.Description","DR1TFF.Count","DR1TFF.Cumulative","DR1TFF.Skip.to.Item"
"0 to 1519","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
