"SPDNACC.Code.or.Value","SPDNACC.Value.Description","SPDNACC.Count","SPDNACC.Cumulative","SPDNACC.Skip.to.Item"
"0 to 12","Range of Values",6696,6696,NA
".","Missing",799,7495,NA
