"LBCMIRLA.Code.or.Value","LBCMIRLA.Value.Description","LBCMIRLA.Count","LBCMIRLA.Cumulative","LBCMIRLA.Skip.to.Item"
"0.5 to 62.5","Range of Values",264,264,NA
".","Missing",0,264,NA
