"SPDNACC.Code.or.Value","SPDNACC.Value.Description","SPDNACC.Count","SPDNACC.Cumulative","SPDNACC.Skip.to.Item"
"0 to 10","Range of Values",6444,6444,NA
".","Missing",1299,7743,NA
