"RHQ560Q.Code.or.Value","RHQ560Q.Value.Description","RHQ560Q.Count","RHQ560Q.Cumulative","RHQ560Q.Skip.to.Item"
"1 to 42","Range of Values",397,397,NA
"77","Refused",0,397,NA
"99","Don't know",7,404,NA
".","Missing",3080,3484,NA
