"SIAPROXY.Code.or.Value","SIAPROXY.Value.Description","SIAPROXY.Count","SIAPROXY.Cumulative","SIAPROXY.Skip.to.Item"
"1","Yes",3990,3990,NA
"2","No",6132,10122,NA
".","Missing",0,10122,NA
