"LBXMMA.Code.or.Value","LBXMMA.Value.Description","LBXMMA.Count","LBXMMA.Cumulative","LBXMMA.Skip.to.Item"
"0.04 to 7.59","Range of Values",8451,8451,NA
".","Missing",1478,9929,NA
