"DR2TVB12.Code.or.Value","DR2TVB12.Value.Description","DR2TVB12.Count","DR2TVB12.Cumulative","DR2TVB12.Skip.to.Item"
"0 to 225.7","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
