"CBQ535.Code.or.Value","CBQ535.Value.Description","CBQ535.Count","CBQ535.Cumulative","CBQ535.Skip.to.Item"
"1","Yes",2102,2102,""
"2","No",3265,5367,"CBQ545"
"7","Refused",0,5367,"CBQ545"
"9","Don't know",36,5403,"CBQ545"
".","Missing",4772,10175,""
