"URXMB3.Code.or.Value","URXMB3.Value.Description","URXMB3.Count","URXMB3.Cumulative","URXMB3.Skip.to.Item"
"0.424 to 248","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
