"DXXL1BMD.Code.or.Value","DXXL1BMD.Value.Description","DXXL1BMD.Count","DXXL1BMD.Cumulative","DXXL1BMD.Skip.to.Item"
"0.406 to 1.984","Range of Values",3063,3063,NA
".","Missing",645,3708,NA
