"DS2ACTSS.Code.or.Value","DS2ACTSS.Value.Description","DS2ACTSS.Count","DS2ACTSS.Cumulative","DS2ACTSS.Skip.to.Item"
"0.11 to 40","Range of Values",5408,5408,NA
"999","Don't know",0,5408,NA
".","Missing",118,5526,NA
