"AUXTPVL.Code.or.Value","AUXTPVL.Value.Description","AUXTPVL.Count","AUXTPVL.Cumulative","AUXTPVL.Skip.to.Item"
"0.235 to 6.372","Range of Values",4228,4228,NA
"777","Refused",0,4228,NA
"888","Could not obtain",0,4228,NA
".","Missing",354,4582,NA
