"LBC180LA.Code.or.Value","LBC180LA.Value.Description","LBC180LA.Count","LBC180LA.Cumulative","LBC180LA.Skip.to.Item"
"0.6 to 122.4","Range of Values",264,264,NA
".","Missing",0,264,NA
