"LBDLDLSI.Code.or.Value","LBDLDLSI.Value.Description","LBDLDLSI.Count","LBDLDLSI.Cumulative","LBDLDLSI.Skip.to.Item"
"0.595 to 8.896","Range of Values",3035,3035,NA
".","Missing",280,3315,NA
