"LBDPFOAL.Code.or.Value","LBDPFOAL.Value.Description","LBDPFOAL.Count","LBDPFOAL.Cumulative","LBDPFOAL.Skip.to.Item"
"0","At or above the detection limit",2111,2111,NA
"1","Below lower detection limit",9,2120,NA
".","Missing",203,2323,NA
