"OSQ010b.Code.or.Value","OSQ010b.Value.Description","OSQ010b.Count","OSQ010b.Cumulative","OSQ010b.Skip.to.Item"
"1","Yes",530,530,"OSQ020b"
"2","No",4875,5405,""
"7","Refused",2,5407,""
"9","Don't know",3,5410,""
".","Missing",1,5411,""
