"VIXKRD2.Code.or.Value","VIXKRD2.Value.Description","VIXKRD2.Count","VIXKRD2.Cumulative","VIXKRD2.Skip.to.Item"
"36 to 68","Range of Values",6429,6429,NA
"88","Could not obtain",98,6527,NA
".","Missing",453,6980,NA
