"ORXH40.Code.or.Value","ORXH40.Value.Description","ORXH40.Count","ORXH40.Cumulative","ORXH40.Skip.to.Item"
"1","Positive",1,1,NA
"2","Negative",4846,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
