"WHD010.Code.or.Value","WHD010.Value.Description","WHD010.Count","WHD010.Cumulative","WHD010.Skip.to.Item"
"41 to 81","Range of Values",6472,6472,NA
"7777","Refused",5,6477,NA
"9999","Don't know",132,6609,NA
".","Missing",25,6634,NA
