"URXCB3.Code.or.Value","URXCB3.Value.Description","URXCB3.Count","URXCB3.Cumulative","URXCB3.Skip.to.Item"
"0.35 to 4.8","Range of Values",2583,2583,NA
".","Missing",111,2694,NA
