"WBXF013.Code.or.Value","WBXF013.Value.Description","WBXF013.Count","WBXF013.Cumulative","WBXF013.Skip.to.Item"
"500 to 500","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
