"DR1IALCO.Code.or.Value","DR1IALCO.Value.Description","DR1IALCO.Count","DR1IALCO.Cumulative","DR1IALCO.Skip.to.Item"
"0 to 332.6","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
