"DR2IS160.Code.or.Value","DR2IS160.Value.Description","DR2IS160.Count","DR2IS160.Cumulative","DR2IS160.Skip.to.Item"
"0 to 55.07","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
