"DRD370K.Code.or.Value","DRD370K.Value.Description","DRD370K.Count","DRD370K.Cumulative","DRD370K.Skip.to.Item"
"1","Yes",133,133,""
"2","No",5156,5289,"DRD370L"
".","Missing",4049,9338,""
