"ALQ120U.Code.or.Value","ALQ120U.Value.Description","ALQ120U.Count","ALQ120U.Cumulative","ALQ120U.Skip.to.Item"
"1","Week",1371,1371,NA
"2","Month",924,2295,NA
"3","Year",1032,3327,NA
"7","Refused",0,3327,NA
"9","Don't know",0,3327,NA
".","Missing",2288,5615,NA
