"LBCBR3.Code.or.Value","LBCBR3.Value.Description","LBCBR3.Count","LBCBR3.Cumulative","LBCBR3.Skip.to.Item"
"32.8 to 962.1","Range of Values",301,301,NA
".","Missing",0,301,NA
